ecole,addr,lycee,groupe_scolaire,institut
Institut des Sciences des Arts Culinaires  Privé    (Isac),"hay Elmassara, rue 1 n°31 bd Deux Mars n°2",0,0,1
Institut Eddaoudia,bd Anoual -ex Felix Faure ang. bd Alexandrie,0,0,1
Institut El Ichaâe,"42, allée des Phénix ",0,0,1
Ecole Sahara  Privée    de Coiffure Moderne (Espcm),"11, avenue Akid Allam, hay El Falah",0,0,0
Ecole Saîl,"hay Rahma, rue 11 n°350",0,0,0
Ecole Salah,"hay El Osra Aïn Chok, rue 53 n°36",0,0,0
Ecole Sidi Bernoussi  Privée,"hay El Qods, lotiss. RATC",0,0,0
Ecole Siham Touiri  Privée,"lot. Hakam 2, rue 11 n°53, 1°ét.",0,0,0
Ecole Socrate,"17, rue Ghdifa bent ElMadani -ex Lefèvre ",0,0,0
Ecole Supérieure de Design (Art'com Sup),"18, rue Bachir El Ibrahimi -ex Ekdal, quartier Bel Air",0,0,0
Ecole Tajani  Privé    2,"lotiss. Zahr, rue 3 n°30, lotiss. Zoubeir",0,0,0
Ecole Tanwir,"cité Sidi Bernoussi Hay Al Azhar, n°36",0,0,0
Ecole Technique d'Arts Plastiques (E.t.a.p.),"384, bd Abdallah Ibrahim ex- Al Jamia ",0,0,0
Ecole Technique  Privée    Magistyle,"257, rue des Anglais ",0,0,0
Ecole Triangle Junior,"hay El Oulfa, résid. Essourour Farah 1, Gh 04, imm. 38",0,0,0
Ecole Welcome  Privée,"hay Moulay Abdallah, rue 310 n°60",0,0,0
Ecole Yassamine Oasis,"7, rue des Papillons ",0,0,0
Ecole Yassamine Rabat,"4 Bis, rue de la Pie ",0,0,0
Ecole Yassamine Sidi Maarouf,"lotiss. Lina, rue 26 n°32",0,0,0
Ecole Younia  privée    de coiffure,avenue Akid Allam ang. Driss ElHarti lot. 11 1°ét.,0,0,0
Ecole Zouhair,"11, avenue Mohamed Bouziane ",0,0,0
